xflr5 v6.59

S1223
T1-111.0 m/s-VLM1
QInf  =,  111.000000 ,m/s
Alpha = ,   5.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.406877
Cy    = ,   0.000000
Cd=,   0.107068,ICd=,    0.090354,PCd=,    0.016714
Cl   = ,-2.27309e-16
Cm   =,   -0.705696
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    2.236131, YCP=,    0.000000, ZCP=,    0.300218 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -14.9489,   2.8999, -6.255, 0.666885, 0.034610, 0.219918,-0.465350,-0.305163, 0.4001, 0.0277, 0.7231, 0.0000
  -14.7457,   2.9390, -6.092, 0.802510, 0.028109, 0.142278,-0.494660,-0.295769, 0.3936, 0.0317, 0.6169, 2.5499
  -14.3448,   3.0162, -5.329, 0.982012, 0.020637, 0.108161,-0.557356,-0.312206, 0.3854, 0.0379, 0.5629,25.8168
  -13.7573,   3.1294, -4.522, 1.133905, 0.016357, 0.094649,-0.609382,-0.325862, 0.3757, 0.0170, 0.5316,114.8532
  -12.9991,   3.2755, -3.877, 1.247774, 0.016351, 0.085935,-0.646283,-0.334151, 0.3624, 0.0209, 0.5119,345.3905
  -12.0909,   3.4505, -3.422, 1.327392, 0.016531, 0.079571,-0.670881,-0.338805, 0.3569, 0.0265, 0.4994,819.0882
  -11.0574,   3.6496, -3.134, 1.379783, 0.016598, 0.075371,-0.686552,-0.341372, 0.3532, 0.0732, 0.4916,1651.6148
   -9.9269,   3.8674, -2.979, 1.411725, 0.016542, 0.073190,-0.695917,-0.342758, 0.3499, 0.1138, 0.4870,2955.7277
   -8.7302,   4.0980, -2.926, 1.428743, 0.016396, 0.072761,-0.700846,-0.343443, 0.3471, 0.1303, 0.4846,4821.7921
   -7.5000,   4.3350, -2.951, 1.435053, 0.016181, 0.073781,-0.702647,-0.343679, 0.3447, 0.1236, 0.4837,7298.4710
   -6.2698,   4.5720, -3.037, 1.433807, 0.015915, 0.075985,-0.702238,-0.343594, 0.3427, 0.1016, 0.4838,10376.5367
   -5.0731,   4.8026, -3.171, 1.427406, 0.015715, 0.079197,-0.700278,-0.343245, 0.3419, 0.0811, 0.4847,13978.6654
   -3.9426,   5.0204, -3.349, 1.417754, 0.015555, 0.083345,-0.697254,-0.342644, 0.3419, 0.0615, 0.4859,17957.4957
   -2.9091,   5.2195, -3.567, 1.406452, 0.015393, 0.088494,-0.693549,-0.341771, 0.3421, 0.0399, 0.4872,22103.1374
   -2.0009,   5.3945, -3.833, 1.394923, 0.015242, 0.094882,-0.689501,-0.340608, 0.3423, 0.0278, 0.4884,26159.8677
   -1.2427,   5.5406, -4.158, 1.384507, 0.015114, 0.103049,-0.685502,-0.339208, 0.3426, 0.0247, 0.4892,29850.2390
   -0.6552,   5.6538, -4.570, 1.376585, 0.015015, 0.114591,-0.682222,-0.337883, 0.3428, 0.0235, 0.4896,32903.5702
   -0.2543,   5.7310, -5.114, 1.373120, 0.014961, 0.136191,-0.681234,-0.337696, 0.3428, 0.0230, 0.4900,35085.0684
   -0.0511,   5.7701, -5.885, 1.376523, 0.014967, 0.170347,-0.684949,-0.340548, 0.3425, 0.0234, 0.4915,36221.7334
    0.0511,   5.7701, -5.885, 1.376523, 0.014967, 0.170347,-0.684949,-0.340548, 0.3425, 0.0234, 0.4915,36221.8866
    0.2543,   5.7310, -5.114, 1.373120, 0.014961, 0.136191,-0.681234,-0.337696, 0.3428, 0.0230, 0.4900,35085.1853
    0.6552,   5.6538, -4.570, 1.376585, 0.015015, 0.114591,-0.682222,-0.337883, 0.3428, 0.0235, 0.4896,32903.6536
    1.2427,   5.5406, -4.158, 1.384507, 0.015114, 0.103049,-0.685502,-0.339208, 0.3426, 0.0247, 0.4892,29850.2928
    2.0009,   5.3945, -3.833, 1.394923, 0.015242, 0.094882,-0.689501,-0.340608, 0.3423, 0.0278, 0.4884,26159.8969
    2.9091,   5.2195, -3.567, 1.406452, 0.015393, 0.088494,-0.693549,-0.341771, 0.3421, 0.0399, 0.4872,22103.1473
    3.9426,   5.0204, -3.349, 1.417754, 0.015555, 0.083345,-0.697254,-0.342644, 0.3419, 0.0615, 0.4859,17957.4917
    5.0731,   4.8026, -3.171, 1.427406, 0.015715, 0.079197,-0.700278,-0.343245, 0.3419, 0.0811, 0.4847,13978.6523
    6.2698,   4.5720, -3.037, 1.433807, 0.015915, 0.075985,-0.702238,-0.343594, 0.3427, 0.1016, 0.4838,10376.5189
    7.5000,   4.3350, -2.951, 1.435053, 0.016181, 0.073781,-0.702647,-0.343679, 0.3447, 0.1236, 0.4837,7298.4518
    8.7302,   4.0980, -2.926, 1.428743, 0.016396, 0.072761,-0.700846,-0.343443, 0.3471, 0.1303, 0.4846,4821.7741
    9.9269,   3.8674, -2.979, 1.411725, 0.016542, 0.073190,-0.695917,-0.342758, 0.3499, 0.1138, 0.4870,2955.7123
   11.0574,   3.6496, -3.134, 1.379783, 0.016598, 0.075371,-0.686552,-0.341372, 0.3532, 0.0732, 0.4916,1651.6028
   12.0909,   3.4505, -3.422, 1.327392, 0.016531, 0.079571,-0.670881,-0.338805, 0.3569, 0.0265, 0.4994,819.0797
   12.9991,   3.2755, -3.877, 1.247774, 0.016351, 0.085935,-0.646283,-0.334151, 0.3624, 0.0209, 0.5119,345.3851
   13.7573,   3.1294, -4.522, 1.133905, 0.016357, 0.094649,-0.609382,-0.325862, 0.3757, 0.0170, 0.5316,114.8503
   14.3448,   3.0162, -5.329, 0.982012, 0.020637, 0.108161,-0.557356,-0.312206, 0.3854, 0.0379, 0.5629,25.8156
   14.7457,   2.9390, -6.092, 0.802510, 0.028109, 0.142278,-0.494660,-0.295769, 0.3936, 0.0317, 0.6169, 2.5496
   14.9489,   2.8999, -6.255, 0.666885, 0.034610, 0.219918,-0.465350,-0.305163, 0.4001, 0.0277, 0.7231, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
   0,   2.889e+00,  -1.495e+01,   7.681e-03,       0.585,      -0.113,       0.803,   5.368e-03,      2.1098
   1,   2.827e+00,  -1.495e+01,   4.539e-02,       0.426,      -0.083,       0.901,   1.408e-02,      2.2148
   2,   2.684e+00,  -1.495e+01,   1.040e-01,       0.283,      -0.057,       0.958,   2.121e-02,      1.4923
   3,   2.470e+00,  -1.495e+01,   1.603e-01,       0.184,      -0.041,       0.982,   2.725e-02,      0.9219
   4,   2.196e+00,  -1.495e+01,   2.059e-01,       0.113,      -0.030,       0.993,   3.188e-02,      0.5622
   5,   1.879e+00,  -1.495e+01,   2.374e-01,       0.059,      -0.023,       0.998,   3.479e-02,      0.4102
   6,   1.537e+00,  -1.495e+01,   2.534e-01,       0.010,      -0.018,       1.000,   3.576e-02,      0.4174
   7,   1.190e+00,  -1.495e+01,   2.526e-01,      -0.041,      -0.013,       0.999,   3.475e-02,      0.4816
   8,   8.584e-01,  -1.495e+01,   2.330e-01,      -0.115,      -0.009,       0.993,   3.187e-02,      0.5010
   9,   5.609e-01,  -1.495e+01,   1.924e-01,      -0.205,      -0.005,       0.979,   2.734e-02,      0.4138
  10,   3.150e-01,  -1.495e+01,   1.369e-01,      -0.280,      -0.003,       0.960,   2.116e-02,      0.3266
  11,   1.351e-01,  -1.495e+01,   7.975e-02,      -0.404,      -0.001,       0.915,   1.386e-02,      0.0886
  12,   3.160e-02,  -1.495e+01,   2.801e-02,      -0.712,       0.000,       0.703,   6.135e-03,     -2.0181
Strip 2
  13,   2.928e+00,  -1.475e+01,   7.784e-03,       0.585,      -0.113,       0.803,   1.617e-02,      1.2160
  14,   2.865e+00,  -1.475e+01,   4.600e-02,       0.426,      -0.083,       0.901,   4.241e-02,      1.5181
  15,   2.720e+00,  -1.475e+01,   1.054e-01,       0.283,      -0.057,       0.958,   6.391e-02,      1.3903
  16,   2.503e+00,  -1.475e+01,   1.624e-01,       0.184,      -0.041,       0.982,   8.211e-02,      1.0773
  17,   2.226e+00,  -1.475e+01,   2.087e-01,       0.113,      -0.030,       0.993,   9.604e-02,      0.8330
  18,   1.905e+00,  -1.475e+01,   2.406e-01,       0.059,      -0.023,       0.998,   1.048e-01,      0.7206
  19,   1.558e+00,  -1.475e+01,   2.568e-01,       0.010,      -0.018,       1.000,   1.077e-01,      0.7051
  20,   1.206e+00,  -1.475e+01,   2.560e-01,      -0.041,      -0.013,       0.999,   1.047e-01,      0.7568
  21,   8.700e-01,  -1.475e+01,   2.362e-01,      -0.115,      -0.009,       0.993,   9.603e-02,      0.7677
  22,   5.684e-01,  -1.475e+01,   1.950e-01,      -0.205,      -0.005,       0.979,   8.238e-02,      0.6594
  23,   3.193e-01,  -1.475e+01,   1.387e-01,      -0.280,      -0.003,       0.960,   6.374e-02,      0.5786
  24,   1.369e-01,  -1.475e+01,   8.082e-02,      -0.404,      -0.001,       0.915,   4.176e-02,      0.2787
  25,   3.203e-02,  -1.475e+01,   2.839e-02,      -0.712,       0.000,       0.703,   1.848e-02,     -1.9793
Strip 3
  26,   3.005e+00,  -1.434e+01,   7.989e-03,       0.585,      -0.113,       0.803,   2.716e-02,      1.0583
  27,   2.940e+00,  -1.434e+01,   4.721e-02,       0.426,      -0.083,       0.901,   7.121e-02,      1.3209
  28,   2.792e+00,  -1.434e+01,   1.082e-01,       0.283,      -0.057,       0.958,   1.073e-01,      1.3297
  29,   2.569e+00,  -1.434e+01,   1.667e-01,       0.184,      -0.041,       0.982,   1.379e-01,      1.2032
  30,   2.284e+00,  -1.434e+01,   2.142e-01,       0.113,      -0.030,       0.993,   1.613e-01,      1.0637
  31,   1.955e+00,  -1.434e+01,   2.469e-01,       0.059,      -0.023,       0.998,   1.760e-01,      0.9823
  32,   1.599e+00,  -1.434e+01,   2.635e-01,       0.010,      -0.018,       1.000,   1.809e-01,      0.9659
  33,   1.238e+00,  -1.434e+01,   2.627e-01,      -0.041,      -0.013,       0.999,   1.758e-01,      1.0115
  34,   8.928e-01,  -1.434e+01,   2.424e-01,      -0.115,      -0.009,       0.993,   1.613e-01,      1.0123
  35,   5.834e-01,  -1.434e+01,   2.001e-01,      -0.205,      -0.005,       0.979,   1.383e-01,      0.8867
  36,   3.276e-01,  -1.434e+01,   1.423e-01,      -0.280,      -0.003,       0.960,   1.070e-01,      0.7845
  37,   1.405e-01,  -1.434e+01,   8.295e-02,      -0.404,      -0.001,       0.915,   7.013e-02,      0.4881
  38,   3.287e-02,  -1.434e+01,   2.913e-02,      -0.712,       0.000,       0.703,   3.104e-02,     -1.6512
Strip 4
  39,   3.118e+00,  -1.376e+01,   8.289e-03,       0.585,      -0.113,       0.803,   3.837e-02,      1.0174
  40,   3.051e+00,  -1.376e+01,   4.898e-02,       0.426,      -0.083,       0.901,   1.006e-01,      1.2815
  41,   2.897e+00,  -1.376e+01,   1.123e-01,       0.283,      -0.057,       0.958,   1.516e-01,      1.3333
  42,   2.665e+00,  -1.376e+01,   1.730e-01,       0.184,      -0.041,       0.982,   1.948e-01,      1.2774
  43,   2.370e+00,  -1.376e+01,   2.222e-01,       0.113,      -0.030,       0.993,   2.279e-01,      1.2011
  44,   2.028e+00,  -1.376e+01,   2.562e-01,       0.059,      -0.023,       0.998,   2.486e-01,      1.1563
  45,   1.659e+00,  -1.376e+01,   2.734e-01,       0.010,      -0.018,       1.000,   2.556e-01,      1.1541
  46,   1.285e+00,  -1.376e+01,   2.726e-01,      -0.041,      -0.013,       0.999,   2.484e-01,      1.2015
  47,   9.264e-01,  -1.376e+01,   2.515e-01,      -0.115,      -0.009,       0.993,   2.278e-01,      1.1982
  48,   6.053e-01,  -1.376e+01,   2.076e-01,      -0.205,      -0.005,       0.979,   1.954e-01,      1.0685
  49,   3.399e-01,  -1.376e+01,   1.477e-01,      -0.280,      -0.003,       0.960,   1.512e-01,      0.9765
  50,   1.458e-01,  -1.376e+01,   8.606e-02,      -0.404,      -0.001,       0.915,   9.907e-02,      0.7336
  51,   3.410e-02,  -1.376e+01,   3.022e-02,      -0.712,       0.000,       0.703,   4.385e-02,     -1.2389
Strip 5
