xflr5 v6.59

Plane name :, CH10-one wing
Polar name :, T1-111.0 m/s-VLM1
Freestream speed :, 111.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.674054,   0.012207,   0.038146,   0.050353,  -0.000000,   0.000000,  -0.519349,   0.000000,   0.000000,  111.0000,    1.6969
   -4.500,     0.000,   0.720226,   0.013782,   0.035602,   0.049384,  -0.000000,   0.000000,  -0.531378,   0.000000,   0.000000,  111.0000,    1.6220
   -4.000,     0.000,   0.766322,   0.015457,   0.033327,   0.048784,  -0.000000,   0.000000,  -0.543366,   0.000000,   0.000000,  111.0000,    1.5561
   -3.500,     0.000,   0.812337,   0.017231,   0.031094,   0.048325,  -0.000000,   0.000000,  -0.555315,   0.000000,  -0.000000,  111.0000,    1.4978
   -3.000,     0.000,   0.858264,   0.019103,   0.029363,   0.048467,  -0.000000,   0.000000,  -0.567216,   0.000000,  -0.000000,  111.0000,    1.4457
   -2.500,     0.000,   0.904098,   0.021073,   0.027325,   0.048398,  -0.000000,  -0.000000,  -0.579076,   0.000000,   0.000000,  111.0000,    1.3990
   -2.000,     0.000,   0.949832,   0.023139,   0.025258,   0.048397,  -0.000000,  -0.000000,  -0.590888,   0.000000,   0.000000,  111.0000,    1.3569
   -1.500,     0.000,   0.995460,   0.025300,   0.023388,   0.048687,  -0.000000,  -0.000000,  -0.602647,   0.000000,  -0.000000,  111.0000,    1.3186
   -1.000,     0.000,   1.040976,   0.027555,   0.022022,   0.049577,  -0.000000,   0.000000,  -0.614349,   0.000000,   0.000000,  111.0000,    1.2837
   -0.500,     0.000,   1.086375,   0.029904,   0.021083,   0.050986,  -0.000000,  -0.000000,  -0.625994,   0.000000,   0.000000,  111.0000,    1.2519
    0.000,     0.000,   1.131650,   0.032344,   0.020473,   0.052817,  -0.000000,   0.000000,  -0.637582,   0.000000,  -0.000000,  111.0000,    1.2226
    0.500,     0.000,   1.176795,   0.034875,   0.020055,   0.054930,  -0.000000,  -0.000000,  -0.649110,   0.000000,   0.000000,  111.0000,    1.1956
    1.000,     0.000,   1.221805,   0.037496,   0.019878,   0.057374,  -0.000000,   0.000000,  -0.660577,  -0.000000,   0.000000,  111.0000,    1.1706
    1.500,     0.000,   1.266674,   0.040204,   0.019828,   0.060032,  -0.000000,   0.000000,  -0.671980,   0.000000,   0.000000,  111.0000,    1.1475
    2.000,     0.000,   1.311395,   0.042998,   0.019858,   0.062856,  -0.000000,  -0.000000,  -0.683315,   0.000000,   0.000000,  111.0000,    1.1259
    2.500,     0.000,   1.355964,   0.045878,   0.019999,   0.065877,  -0.000000,  -0.000000,  -0.694581,  -0.000000,  -0.000000,  111.0000,    1.1059
    3.000,     0.000,   1.400375,   0.048840,   0.020307,   0.069147,  -0.000000,  -0.000000,  -0.705775,   0.000000,  -0.000000,  111.0000,    1.0871
    3.500,     0.000,   1.444621,   0.051884,   0.020689,   0.072573,  -0.000000,  -0.000000,  -0.716893,   0.000000,   0.000000,  111.0000,    1.0696
    4.000,     0.000,   1.488698,   0.055008,   0.021095,   0.076103,  -0.000000,   0.000000,  -0.727932,   0.000000,  -0.000000,  111.0000,    1.0531
    4.500,     0.000,   1.532600,   0.058209,   0.021527,   0.079736,  -0.000000,   0.000000,  -0.738889,   0.000000,   0.000000,  111.0000,    1.0377
    5.000,     0.000,   1.576321,   0.061487,   0.022025,   0.083512,  -0.000000,   0.000000,  -0.749760,  -0.000000,  -0.000000,  111.0000,    1.0231
    5.500,     0.000,   1.619856,   0.064838,   0.022588,   0.087426,  -0.000000,   0.000000,  -0.760544,  -0.000000,  -0.000000,  111.0000,    1.0093
    6.000,     0.000,   1.663200,   0.068262,   0.023201,   0.091463,  -0.000000,   0.000000,  -0.771238,  -0.000000,  -0.000000,  111.0000,    0.9963
    6.500,     0.000,   1.706346,   0.071755,   0.023889,   0.095644,  -0.000000,  -0.000000,  -0.781838,   0.000000,   0.000000,  111.0000,    0.9841
    7.000,     0.000,   1.749291,   0.075316,   0.024641,   0.099957,  -0.000000,   0.000000,  -0.792342,   0.000000,  -0.000000,  111.0000,    0.9724
    7.500,     0.000,   1.792029,   0.078943,   0.025409,   0.104352,  -0.000000,   0.000000,  -0.802745,   0.000000,   0.000000,  111.0000,    0.9614
    8.000,     0.000,   1.834555,   0.082633,   0.026318,   0.108951,  -0.000000,   0.000000,  -0.813049,  -0.000000,  -0.000000,  111.0000,    0.9509
    8.500,     0.000,   1.876864,   0.086385,   0.027615,   0.114000,  -0.000000,   0.000000,  -0.823261,  -0.000000,  -0.000000,  111.0000,    0.9409
    9.000,     0.000,   1.918950,   0.090195,   0.029525,   0.119720,  -0.000000,   0.000000,  -0.833390,  -0.000000,   0.000000,  111.0000,    0.9314


