  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -19.0250,   3.1700,-10.563, 1.416034, 0.014321, 0.552236, 1.819294,-0.523045, 0.3727, 0.4185, 0.6423, 0.0000
  -18.9728,   3.1700, -8.990, 1.058425, 0.013061, 0.355315, 1.420871,-0.332086, 0.4193, 0.0258, 0.5834, 0.3875
  -18.8687,   3.1700, -8.625, 1.128534, 0.012874, 0.330184, 1.552499,-0.315608, 0.4077, 0.1033, 0.5472, 2.8953
  -18.7128,   3.1700, -8.417, 1.197860, 0.013066, 0.310003, 1.684496,-0.297821, 0.3973, 0.2589, 0.5143,11.2510
  -18.5056,   3.1700, -8.219, 1.265956, 0.013408, 0.292430, 1.812014,-0.282628, 0.3887, 0.3076, 0.4874,31.4218
  -18.2478,   3.1700, -8.005, 1.328012, 0.013789, 0.275654, 1.927508,-0.269558, 0.3813, 0.3428, 0.4659,71.8096
  -17.9399,   3.1700, -7.764, 1.382249, 0.014150, 0.259331, 2.028286,-0.258324, 0.3756, 0.3830, 0.4489,143.3114
  -17.5828,   3.1700, -7.493, 1.428832, 0.014393, 0.243508, 2.114699,-0.248758, 0.3715, 0.4345, 0.4354,259.2601
  -17.1775,   3.1700, -7.193, 1.468838, 0.014646, 0.228477, 2.188798,-0.240696, 0.3676, 0.4957, 0.4246,435.2811
  -16.7252,   3.1700, -6.873, 1.503464, 0.014908, 0.214561, 2.252761,-0.233929, 0.3637, 0.5670, 0.4159,689.0942
  -16.2270,   3.1700, -6.546, 1.533656, 0.015093, 0.201895, 2.308304,-0.228219, 0.3611, 0.6628, 0.4087,1040.2766
  -15.6843,   3.1700, -6.222, 1.560091, 0.015251, 0.190419, 2.356796,-0.223353, 0.3584, 0.7978, 0.4028,1509.9871
  -15.0987,   3.1700, -5.909, 1.583272, 0.015434, 0.179998, 2.399283,-0.219164, 0.3564, 0.8610, 0.3978,2120.6529
  -14.4716,   3.1700, -5.612, 1.603625, 0.015573, 0.170508, 2.436519,-0.215534, 0.3551, 0.8857, 0.3936,2895.6267
  -13.8049,   3.1700, -5.334, 1.621526, 0.015701, 0.161860, 2.469239,-0.212376, 0.3538, 0.9129, 0.3900,3858.8213
  -13.1004,   3.1700, -5.077, 1.637311, 0.015802, 0.153996, 2.498047,-0.209625, 0.3526, 0.9505, 0.3869,5034.3306
  -12.3600,   3.1700, -4.841, 1.651270, 0.015909, 0.146871, 2.523500,-0.207231, 0.3514, 0.9848, 0.3843,6446.0443
  -11.5856,   3.1700, -4.626, 1.663645, 0.016021, 0.140446, 2.546039,-0.205149, 0.3502, 1.0000, 0.3820,8117.2593
  -10.7795,   3.1700, -4.433, 1.674628, 0.016136, 0.134683, 2.566017,-0.203343, 0.3492, 1.0000, 0.3800,10070.2941
   -9.9439,   3.1700, -4.259, 1.684371, 0.016244, 0.129544, 2.583705,-0.201781, 0.3481, 1.0000, 0.3783,12326.1077
   -9.0810,   3.1700, -4.105, 1.692991, 0.016344, 0.124992, 2.599321,-0.200435, 0.3472, 1.0000, 0.3768,14903.9294
   -8.1933,   3.1700, -3.969, 1.700576, 0.016436, 0.120995, 2.613035,-0.199282, 0.3463, 1.0000, 0.3756,17820.9019
   -7.2830,   3.1700, -3.851, 1.707194, 0.016522, 0.117520, 2.624979,-0.198303, 0.3455, 1.0000, 0.3745,21091.7441
   -6.3528,   3.1700, -3.749, 1.712897, 0.016598, 0.114541, 2.635253,-0.197480, 0.3448, 1.0000, 0.3736,24728.4366
   -5.4052,   3.1700, -3.663, 1.717724, 0.016666, 0.112032, 2.643936,-0.196799, 0.3442, 1.0000, 0.3728,28739.9348
   -4.4428,   3.1700, -3.593, 1.721706, 0.016723, 0.109973, 2.651087,-0.196249, 0.3437, 1.0000, 0.3722,33131.9149
   -3.4682,   3.1700, -3.537, 1.724865, 0.016768, 0.108346, 2.656754,-0.195820, 0.3433, 1.0000, 0.3717,37906.5549
   -2.4841,   3.1700, -3.496, 1.727219, 0.016802, 0.107138, 2.660974,-0.195504, 0.3430, 1.0000, 0.3714,43062.3553
   -1.4932,   3.1700, -3.469, 1.728782, 0.016825, 0.106339, 2.663773,-0.195296, 0.3428, 1.0000, 0.3712,48594.0013
   -0.4982,   3.1700, -3.455, 1.729562, 0.016836, 0.105941, 2.665169,-0.195193, 0.3427, 1.0000, 0.3710,54492.2695
