y;c;Ai;Cl;PCd;Icd
-19.025;1;0;5;0;0
-19;1;0;5;0;0
-18.975;1;0;5;0;0
-18.95;1;0;5;0;0
-18.925;1;0;5;0;0
-18.9;1;0;5;0;0
-18.875;1;0;5;0;0
-18.85;1;0;5;0;0
-18.825;1;0;5;0;0
-18.8;1;0;5;0;0
-18.775;1;0;5;0;0
-18.75;1;0;5;0;0
-18.725;1;0;5;0;0
-18.7;1;0;5;0;0
-18.675;1;0;5;0;0
-18.65;1;0;5;0;0
-18.625;1;0;5;0;0
-18.6;1;0;5;0;0
-18.575;1;0;5;0;0
-18.55;1;0;5;0;0
-18.525;1;0;5;0;0
-18.5;1;0;5;0;0
-18.475;1;0;5;0;0
-18.45;1;0;5;0;0
-18.425;1;0;5;0;0
-18.4;1;0;5;0;0
-18.375;1;0;5;0;0
-18.35;1;0;5;0;0
-18.325;1;0;5;0;0
-18.3;1;0;5;0;0
-18.275;1;0;5;0;0
-18.25;1;0;5;0;0
-18.225;1;0;5;0;0
-18.2;1;0;5;0;0
-18.175;1;0;5;0;0
-18.15;1;0;5;0;0
-18.125;1;0;5;0;0
-18.1;1;0;5;0;0
-18.075;1;0;5;0;0
-18.05;1;0;5;0;0
-18.025;1;0;5;0;0
-18;1;0;5;0;0
-17.975;1;0;5;0;0
-17.95;1;0;5;0;0
-17.925;1;0;5;0;0
-17.9;1;0;5;0;0
-17.875;1;0;5;0;0
-17.85;1;0;5;0;0
-17.825;1;0;5;0;0
-17.8;1;0;5;0;0
-17.775;1;0;5;0;0
-17.75;1;0;5;0;0
-17.725;1;0;5;0;0
-17.7;1;0;5;0;0
-17.675;1;0;5;0;0
-17.65;1;0;5;0;0
-17.625;1;0;5;0;0
-17.6;1;0;5;0;0
-17.575;1;0;5;0;0
-17.55;1;0;5;0;0
-17.525;1;0;5;0;0
-17.5;1;0;5;0;0
-17.475;1;0;5;0;0
-17.45;1;0;5;0;0
-17.425;1;0;5;0;0
-17.4;1;0;5;0;0
-17.375;1;0;5;0;0
-17.35;1;0;5;0;0
-17.325;1;0;5;0;0
-17.3;1;0;5;0;0
-17.275;1;0;5;0;0
-17.25;1;0;5;0;0
-17.225;1;0;5;0;0
-17.2;1;0;5;0;0
-17.175;1;0;5;0;0
-17.15;1;0;5;0;0
-17.125;1;0;5;0;0
-17.1;1;0;5;0;0
-17.075;1;0;5;0;0
-17.05;1;0;5;0;0
-17.025;1;0;5;0;0
-17;1;0;5;0;0
-16.975;1;0;5;0;0
-16.95;1;0;5;0;0
-16.925;1;0;5;0;0
-16.9;1;0;5;0;0
-16.875;1;0;5;0;0
-16.85;1;0;5;0;0
-16.825;1;0;5;0;0
-16.8;1;0;5;0;0
-16.775;1;0;5;0;0
-16.75;1;0;5;0;0
-16.725;1;0;5;0;0
-16.7;1;0;5;0;0
-16.675;1;0;5;0;0
-16.65;1;0;5;0;0
-16.625;1;0;5;0;0
-16.6;1;0;5;0;0
-16.575;1;0;5;0;0
-16.55;1;0;5;0;0
-16.525;1;0;5;0;0
-16.5;1;0;5;0;0
-16.475;1;0;5;0;0
-16.45;1;0;5;0;0
-16.425;1;0;5;0;0
-16.4;1;0;5;0;0
-16.375;1;0;5;0;0
-16.35;1;0;5;0;0
-16.325;1;0;5;0;0
-16.3;1;0;5;0;0
-16.275;1;0;5;0;0
-16.25;1;0;5;0;0
-16.225;1;0;5;0;0
-16.2;1;0;5;0;0
-16.175;1;0;5;0;0
-16.15;1;0;5;0;0
-16.125;1;0;5;0;0
-16.1;1;0;5;0;0
-16.075;1;0;5;0;0
-16.05;1;0;5;0;0
-16.025;1;0;5;0;0
-16;1;0;5;0;0
-15.975;1;0;5;0;0
-15.95;1;0;5;0;0
-15.925;1;0;5;0;0
-15.9;1;0;5;0;0
-15.875;1;0;5;0;0
-15.85;1;0;5;0;0
-15.825;1;0;5;0;0
-15.8;1;0;5;0;0
-15.775;1;0;5;0;0
-15.75;1;0;5;0;0
-15.725;1;0;5;0;0
-15.7;1;0;5;0;0
-15.675;1;0;5;0;0
-15.65;1;0;5;0;0
-15.625;1;0;5;0;0
-15.6;1;0;5;0;0
-15.575;1;0;5;0;0
-15.55;1;0;5;0;0
-15.525;1;0;5;0;0
-15.5;1;0;5;0;0
-15.475;1;0;5;0;0
-15.45;1;0;5;0;0
-15.425;1;0;5;0;0
-15.4;1;0;5;0;0
-15.375;1;0;5;0;0
-15.35;1;0;5;0;0
-15.325;1;0;5;0;0
-15.3;1;0;5;0;0
-15.275;1;0;5;0;0
-15.25;1;0;5;0;0
-15.225;1;0;5;0;0
-15.2;1;0;5;0;0
-15.175;1;0;5;0;0
-15.15;1;0;5;0;0
-15.125;1;0;5;0;0
-15.1;1;0;5;0;0
-15.075;1;0;5;0;0
-15.05;1;0;5;0;0
-15.025;1;0;5;0;0
-15;1;0;5;0;0
-14.975;1;0;5;0;0
-14.95;1;0;5;0;0
-14.925;1;0;5;0;0
-14.9;1;0;5;0;0
-14.875;1;0;5;0;0
-14.85;1;0;5;0;0
-14.825;1;0;5;0;0
-14.8;1;0;5;0;0
-14.775;1;0;5;0;0
-14.75;1;0;5;0;0
-14.725;1;0;5;0;0
-14.7;1;0;5;0;0
-14.675;1;0;5;0;0
-14.65;1;0;5;0;0
-14.625;1;0;5;0;0
-14.6;1;0;5;0;0
-14.575;1;0;5;0;0
-14.55;1;0;5;0;0
-14.525;1;0;5;0;0
-14.5;1;0;5;0;0
-14.475;1;0;5;0;0
-14.45;1;0;5;0;0
-14.425;1;0;5;0;0
-14.4;1;0;5;0;0
-14.375;1;0;5;0;0
-14.35;1;0;5;0;0
-14.325;1;0;5;0;0
-14.3;1;0;5;0;0
-14.275;1;0;5;0;0
-14.25;1;0;5;0;0
-14.225;1;0;5;0;0
-14.2;1;0;5;0;0
-14.175;1;0;5;0;0
-14.15;1;0;5;0;0
-14.125;1;0;5;0;0
-14.1;1;0;5;0;0
-14.075;1;0;5;0;0
-14.05;1;0;5;0;0
-14.025;1;0;5;0;0
-14;1;0;5;0;0
-13.975;1;0;5;0;0
-13.95;1;0;5;0;0
-13.925;1;0;5;0;0
-13.9;1;0;5;0;0
-13.875;1;0;5;0;0
-13.85;1;0;5;0;0
-13.825;1;0;5;0;0
-13.8;1;0;5;0;0
-13.775;1;0;5;0;0
-13.75;1;0;5;0;0
-13.725;1;0;5;0;0
-13.7;1;0;5;0;0
-13.675;1;0;5;0;0
-13.65;1;0;5;0;0
-13.625;1;0;5;0;0
-13.6;1;0;5;0;0
-13.575;1;0;5;0;0
-13.55;1;0;5;0;0
-13.525;1;0;5;0;0
-13.5;1;0;5;0;0
-13.475;1;0;5;0;0
-13.45;1;0;5;0;0
-13.425;1;0;5;0;0
-13.4;1;0;5;0;0
-13.375;1;0;5;0;0
-13.35;1;0;5;0;0
-13.325;1;0;5;0;0
-13.3;1;0;5;0;0
-13.275;1;0;5;0;0
-13.25;1;0;5;0;0
-13.225;1;0;5;0;0
-13.2;1;0;5;0;0
-13.175;1;0;5;0;0
-13.15;1;0;5;0;0
-13.125;1;0;5;0;0
-13.1;1;0;5;0;0
-13.075;1;0;5;0;0
-13.05;1;0;5;0;0
-13.025;1;0;5;0;0
-13;1;0;5;0;0
-12.975;1;0;5;0;0
-12.95;1;0;5;0;0
-12.925;1;0;5;0;0
-12.9;1;0;5;0;0
-12.875;1;0;5;0;0
-12.85;1;0;5;0;0
-12.825;1;0;5;0;0
-12.8;1;0;5;0;0
-12.775;1;0;5;0;0
-12.75;1;0;5;0;0
-12.725;1;0;5;0;0
-12.7;1;0;5;0;0
-12.675;1;0;5;0;0
-12.65;1;0;5;0;0
-12.625;1;0;5;0;0
-12.6;1;0;5;0;0
-12.575;1;0;5;0;0
-12.55;1;0;5;0;0
-12.525;1;0;5;0;0
-12.5;1;0;5;0;0
-12.475;1;0;5;0;0
-12.45;1;0;5;0;0
-12.425;1;0;5;0;0
-12.4;1;0;5;0;0
-12.375;1;0;5;0;0
-12.35;1;0;5;0;0
-12.325;1;0;5;0;0
-12.3;1;0;5;0;0
-12.275;1;0;5;0;0
-12.25;1;0;5;0;0
-12.225;1;0;5;0;0
-12.2;1;0;5;0;0
-12.175;1;0;5;0;0
-12.15;1;0;5;0;0
-12.125;1;0;5;0;0
-12.1;1;0;5;0;0
-12.075;1;0;5;0;0
-12.05;1;0;5;0;0
-12.025;1;0;5;0;0
-12;1;0;5;0;0
-11.975;1;0;5;0;0
-11.95;1;0;5;0;0
-11.925;1;0;5;0;0
-11.9;1;0;5;0;0
-11.875;1;0;5;0;0
-11.85;1;0;5;0;0
-11.825;1;0;5;0;0
-11.8;1;0;5;0;0
-11.775;1;0;5;0;0
-11.75;1;0;5;0;0
-11.725;1;0;5;0;0
-11.7;1;0;5;0;0
-11.675;1;0;5;0;0
-11.65;1;0;5;0;0
-11.625;1;0;5;0;0
-11.6;1;0;5;0;0
-11.575;1;0;5;0;0
-11.55;1;0;5;0;0
-11.525;1;0;5;0;0
-11.5;1;0;5;0;0
-11.475;1;0;5;0;0
-11.45;1;0;5;0;0
-11.425;1;0;5;0;0
-11.4;1;0;5;0;0
-11.375;1;0;5;0;0
-11.35;1;0;5;0;0
-11.325;1;0;5;0;0
-11.3;1;0;5;0;0
-11.275;1;0;5;0;0
-11.25;1;0;5;0;0
-11.225;1;0;5;0;0
-11.2;1;0;5;0;0
-11.175;1;0;5;0;0
-11.15;1;0;5;0;0
-11.125;1;0;5;0;0
-11.1;1;0;5;0;0
-11.075;1;0;5;0;0
-11.05;1;0;5;0;0
-11.025;1;0;5;0;0
-11;1;0;5;0;0
-10.975;1;0;5;0;0
-10.95;1;0;5;0;0
-10.925;1;0;5;0;0
-10.9;1;0;5;0;0
-10.875;1;0;5;0;0
-10.85;1;0;5;0;0
-10.825;1;0;5;0;0
-10.8;1;0;5;0;0
-10.775;1;0;5;0;0
-10.75;1;0;5;0;0
-10.725;1;0;5;0;0
-10.7;1;0;5;0;0
-10.675;1;0;5;0;0
-10.65;1;0;5;0;0
-10.625;1;0;5;0;0
-10.6;1;0;5;0;0
-10.575;1;0;5;0;0
-10.55;1;0;5;0;0
-10.525;1;0;5;0;0
-10.5;1;0;5;0;0
-10.475;1;0;5;0;0
-10.45;1;0;5;0;0
-10.425;1;0;5;0;0
-10.4;1;0;5;0;0
-10.375;1;0;5;0;0
-10.35;1;0;5;0;0
-10.325;1;0;5;0;0
-10.3;1;0;5;0;0
-10.275;1;0;5;0;0
-10.25;1;0;5;0;0
-10.225;1;0;5;0;0
-10.2;1;0;5;0;0
-10.175;1;0;5;0;0
-10.15;1;0;5;0;0
-10.125;1;0;5;0;0
-10.1;1;0;5;0;0
-10.075;1;0;5;0;0
-10.05;1;0;5;0;0
-10.025;1;0;5;0;0
-10;1;0;5;0;0
-9.975;1;0;5;0;0
-9.95;1;0;5;0;0
-9.925;1;0;5;0;0
-9.9;1;0;5;0;0
-9.875;1;0;5;0;0
-9.85;1;0;5;0;0
-9.825;1;0;5;0;0
-9.8;1;0;5;0;0
-9.775;1;0;5;0;0
-9.75;1;0;5;0;0
-9.725;1;0;5;0;0
-9.7;1;0;5;0;0
-9.675;1;0;5;0;0
-9.65;1;0;5;0;0
-9.625;1;0;5;0;0
-9.6;1;0;5;0;0
-9.575;1;0;5;0;0
-9.55;1;0;5;0;0
-9.525;1;0;5;0;0
-9.5;1;0;5;0;0
-9.475;1;0;5;0;0
-9.45;1;0;5;0;0
-9.425;1;0;5;0;0
-9.4;1;0;5;0;0
-9.375;1;0;5;0;0
-9.35;1;0;5;0;0
-9.325;1;0;5;0;0
-9.3;1;0;5;0;0
-9.275;1;0;5;0;0
-9.25;1;0;5;0;0
-9.225;1;0;5;0;0
-9.2;1;0;5;0;0
-9.175;1;0;5;0;0
-9.15;1;0;5;0;0
-9.125;1;0;5;0;0
-9.1;1;0;5;0;0
-9.075;1;0;5;0;0
-9.05;1;0;5;0;0
-9.025;1;0;5;0;0
-9;1;0;5;0;0
-8.975;1;0;5;0;0
-8.95;1;0;5;0;0
-8.925;1;0;5;0;0
-8.9;1;0;5;0;0
-8.875;1;0;5;0;0
-8.85;1;0;5;0;0
-8.825;1;0;5;0;0
-8.8;1;0;5;0;0
-8.775;1;0;5;0;0
-8.75;1;0;5;0;0
-8.725;1;0;5;0;0
-8.7;1;0;5;0;0
-8.675;1;0;5;0;0
-8.65;1;0;5;0;0
-8.625;1;0;5;0;0
-8.6;1;0;5;0;0
-8.575;1;0;5;0;0
-8.55;1;0;5;0;0
-8.525;1;0;5;0;0
-8.5;1;0;5;0;0
-8.475;1;0;5;0;0
-8.45;1;0;5;0;0
-8.425;1;0;5;0;0
-8.4;1;0;5;0;0
-8.375;1;0;5;0;0
-8.35;1;0;5;0;0
-8.325;1;0;5;0;0
-8.3;1;0;5;0;0
-8.275;1;0;5;0;0
-8.25;1;0;5;0;0
-8.225;1;0;5;0;0
-8.2;1;0;5;0;0
-8.175;1;0;5;0;0
-8.15;1;0;5;0;0
-8.125;1;0;5;0;0
-8.1;1;0;5;0;0
-8.075;1;0;5;0;0
-8.05;1;0;5;0;0
-8.025;1;0;5;0;0
-8;1;0;5;0;0
-7.975;1;0;5;0;0
-7.95;1;0;5;0;0
-7.925;1;0;5;0;0
-7.9;1;0;5;0;0
-7.875;1;0;5;0;0
-7.85;1;0;5;0;0
-7.825;1;0;5;0;0
-7.8;1;0;5;0;0
-7.775;1;0;5;0;0
-7.75;1;0;5;0;0
-7.725;1;0;5;0;0
-7.7;1;0;5;0;0
-7.675;1;0;5;0;0
-7.65;1;0;5;0;0
-7.625;1;0;5;0;0
-7.6;1;0;5;0;0
-7.575;1;0;5;0;0
-7.55;1;0;5;0;0
-7.525;1;0;5;0;0
-7.5;1;0;5;0;0
-7.475;1;0;5;0;0
-7.45;1;0;5;0;0
-7.425;1;0;5;0;0
-7.4;1;0;5;0;0
-7.375;1;0;5;0;0
-7.35;1;0;5;0;0
-7.325;1;0;5;0;0
-7.3;1;0;5;0;0
-7.275;1;0;5;0;0
-7.25;1;0;5;0;0
-7.225;1;0;5;0;0
-7.2;1;0;5;0;0
-7.175;1;0;5;0;0
-7.15;1;0;5;0;0
-7.125;1;0;5;0;0
-7.1;1;0;5;0;0
-7.075;1;0;5;0;0
-7.05;1;0;5;0;0
-7.025;1;0;5;0;0
-7;1;0;5;0;0
-6.975;1;0;5;0;0
-6.95;1;0;5;0;0
-6.925;1;0;5;0;0
-6.9;1;0;5;0;0
-6.875;1;0;5;0;0
-6.85;1;0;5;0;0
-6.825;1;0;5;0;0
-6.8;1;0;5;0;0
-6.775;1;0;5;0;0
-6.75;1;0;5;0;0
-6.725;1;0;5;0;0
-6.7;1;0;5;0;0
-6.675;1;0;5;0;0
-6.65;1;0;5;0;0
-6.625;1;0;5;0;0
-6.6;1;0;5;0;0
-6.575;1;0;5;0;0
-6.55;1;0;5;0;0
-6.525;1;0;5;0;0
-6.5;1;0;5;0;0
-6.475;1;0;5;0;0
-6.45;1;0;5;0;0
-6.425;1;0;5;0;0
-6.4;1;0;5;0;0
-6.375;1;0;5;0;0
-6.35;1;0;5;0;0
-6.325;1;0;5;0;0
-6.3;1;0;5;0;0
-6.275;1;0;5;0;0
-6.25;1;0;5;0;0
-6.225;1;0;5;0;0
-6.2;1;0;5;0;0
-6.175;1;0;5;0;0
-6.15;1;0;5;0;0
-6.125;1;0;5;0;0
-6.1;1;0;5;0;0
-6.075;1;0;5;0;0
-6.05;1;0;5;0;0
-6.025;1;0;5;0;0
-6;1;0;5;0;0
-5.975;1;0;5;0;0
-5.95;1;0;5;0;0
-5.925;1;0;5;0;0
-5.9;1;0;5;0;0
-5.875;1;0;5;0;0
-5.85;1;0;5;0;0
-5.825;1;0;5;0;0
-5.8;1;0;5;0;0
-5.775;1;0;5;0;0
-5.75;1;0;5;0;0
-5.725;1;0;5;0;0
-5.7;1;0;5;0;0
-5.675;1;0;5;0;0
-5.65;1;0;5;0;0
-5.625;1;0;5;0;0
-5.6;1;0;5;0;0
-5.575;1;0;5;0;0
-5.55;1;0;5;0;0
-5.525;1;0;5;0;0
-5.5;1;0;5;0;0
-5.475;1;0;5;0;0
-5.45;1;0;5;0;0
-5.425;1;0;5;0;0
-5.4;1;0;5;0;0
-5.375;1;0;5;0;0
-5.35;1;0;5;0;0
-5.325;1;0;5;0;0
-5.3;1;0;5;0;0
-5.275;1;0;5;0;0
-5.25;1;0;5;0;0
-5.225;1;0;5;0;0
-5.2;1;0;5;0;0
-5.175;1;0;5;0;0
-5.15;1;0;5;0;0
-5.125;1;0;5;0;0
-5.1;1;0;5;0;0
-5.075;1;0;5;0;0
-5.05;1;0;5;0;0
-5.025;1;0;5;0;0
-5;1;0;5;0;0
-4.975;1;0;5;0;0
-4.95;1;0;5;0;0
-4.925;1;0;5;0;0
-4.9;1;0;5;0;0
-4.875;1;0;5;0;0
-4.85;1;0;5;0;0
-4.825;1;0;5;0;0
-4.8;1;0;5;0;0
-4.775;1;0;5;0;0
-4.75;1;0;5;0;0
-4.725;1;0;5;0;0
-4.7;1;0;5;0;0
-4.675;1;0;5;0;0
-4.65;1;0;5;0;0
-4.625;1;0;5;0;0
-4.6;1;0;5;0;0
-4.575;1;0;5;0;0
-4.55;1;0;5;0;0
-4.525;1;0;5;0;0
-4.5;1;0;5;0;0
-4.475;1;0;5;0;0
-4.45;1;0;5;0;0
-4.425;1;0;5;0;0
-4.4;1;0;5;0;0
-4.375;1;0;5;0;0
-4.35;1;0;5;0;0
-4.325;1;0;5;0;0
-4.3;1;0;5;0;0
-4.275;1;0;5;0;0
-4.25;1;0;5;0;0
