  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -33.6424,   1.1307, -5.468, 1.144746, 0.016531, 0.254235,-7.258774, 0.235601, 0.4696, 0.2892, 0.3426, 0.0000
  -33.4126,   1.1613, -5.586, 1.516590, 0.019259, 0.188259,-9.059188, 0.378902, 0.4128, 0.8923, 0.2848, 2.1818
  -32.9546,   1.2224, -4.226, 1.826060, 0.023427, 0.138314,-10.086416, 0.432243, 0.3775, 1.0000, 0.2790,24.2366
  -32.2714,   1.3135, -2.720, 1.994623, 0.025843, 0.090977,-9.900165, 0.412449, 0.3496, 1.0000, 0.2852,112.6383
  -31.3678,   1.4340, -1.756, 2.073036, 0.027197, 0.058830,-8.990906, 0.351672, 0.3269, 1.0000, 0.2958,349.3558
  -30.2499,   1.5830, -1.248, 2.104576, 0.028045, 0.041303,-7.777413, 0.273185, 0.3111, 1.0000, 0.3085,856.3891
  -28.9254,   1.7597, -1.017, 2.112180, 0.027770, 0.033251,-6.498503, 0.190864, 0.3037, 1.0000, 0.3216,1800.7400
  -27.4033,   1.9626, -0.944, 2.106941, 0.026938, 0.030773,-5.274991, 0.112027, 0.2982, 1.0000, 0.3345,3399.3099
  -25.6940,   2.1906, -0.965, 2.094160, 0.025720, 0.031559,-4.161436, 0.040048, 0.2955, 1.0000, 0.3466,5922.4855
  -23.8091,   2.4419, -1.043, 2.076350, 0.024277, 0.034327,-3.176683,-0.023898, 0.2978, 1.0000, 0.3577,9695.2004
  -21.7617,   2.7149, -1.161, 2.054616, 0.023133, 0.038370,-2.321062,-0.079806, 0.2999, 1.0000, 0.3680,15094.4359
  -19.5656,   3.0077, -1.307, 2.029270, 0.021806, 0.043300,-1.586388,-0.128235, 0.3019, 1.0000, 0.3776,22542.3389
  -17.2358,   3.3184, -1.476, 2.000079, 0.020518, 0.048904,-0.961020,-0.169980, 0.3053, 1.0000, 0.3865,32494.3820
  -14.7883,   3.6448, -1.668, 1.966316, 0.019245, 0.055056,-0.433001,-0.205893, 0.3104, 1.0000, 0.3951,45422.2496
  -12.2398,   3.9846, -1.879, 1.926647, 0.018128, 0.061643, 0.008397,-0.236807, 0.3124, 1.0000, 0.4037,61791.3594
   -9.6076,   4.3356, -2.105, 1.878812, 0.016724, 0.068456, 0.371386,-0.263533, 0.3164, 1.0000, 0.4127,82033.0501
   -6.9098,   4.6953, -2.331, 1.818858, 0.015445, 0.074880, 0.660847,-0.286947, 0.3194, 0.9992, 0.4230,106511.2996
   -4.1649,   5.0613, -2.488, 1.739052, 0.014675, 0.078573, 0.875561,-0.308277, 0.3241, 0.9812, 0.4364,135482.9183
   -1.3915,   5.4312, -2.213, 1.618742, 0.013480, 0.060518, 1.000032,-0.328555, 0.3364, 0.7175, 0.4567,169046.6000
   0,   5.4312, -2.213, 1.618742, 0.013480, 0.060518, 1.000032,-0.328555, 0.3364, 0.7175, 0.4567,169046.6000
