  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -38.6639,   1.2998, -5.740, 1.161290, 0.016113, 0.260031,-5.250943, 0.107644, 0.4538, 0.2971, 0.3892, 0.0000
  -38.3997,   1.3350, -5.428, 1.521686, 0.018575, 0.186376,-6.486560, 0.220432, 0.4030, 0.8902, 0.3272, 3.3535
  -37.8733,   1.4052, -4.013, 1.828421, 0.022320, 0.133908,-7.192677, 0.260644, 0.3684, 1.0000, 0.3148,36.9592
  -37.0882,   1.5099, -2.596, 2.003161, 0.025092, 0.088680,-7.063374, 0.245806, 0.3405, 1.0000, 0.3162,171.3166
  -36.0497,   1.6484, -1.690, 2.089116, 0.027192, 0.058112,-6.418782, 0.199309, 0.3129, 1.0000, 0.3227,531.3736
  -34.7650,   1.8197, -1.207, 2.126549, 0.028559, 0.041195,-5.548215, 0.138512, 0.2929, 1.0000, 0.3318,1303.9859
  -33.2427,   2.0226, -0.985, 2.138294, 0.028634, 0.033336,-4.624379, 0.074252, 0.2795, 1.0000, 0.3417,2745.6844
  -31.4934,   2.2559, -0.916, 2.135981, 0.027526, 0.030938,-3.737172, 0.012420, 0.2745, 1.0000, 0.3516,5190.2333
  -29.5290,   2.5178, -0.939, 2.125388, 0.026051, 0.031799,-2.927903,-0.044196, 0.2752, 1.0000, 0.3611,9054.2088
  -27.3629,   2.8066, -1.019, 2.109360, 0.024723, 0.034667,-2.211267,-0.094586, 0.2789, 1.0000, 0.3700,14838.7631
  -25.0098,   3.1204, -1.138, 2.089220, 0.023160, 0.038845,-1.588263,-0.138696, 0.2841, 1.0000, 0.3782,23125.9768
  -22.4859,   3.4569, -1.287, 2.065433, 0.021756, 0.043948,-1.053106,-0.176937, 0.2875, 1.0000, 0.3860,34568.5353
  -19.8084,   3.8139, -1.460, 2.037889, 0.020291, 0.049769,-0.597582,-0.209915, 0.2900, 1.0000, 0.3933,49871.8487
  -16.9956,   4.1889, -1.656, 2.005984, 0.018969, 0.056193,-0.213029,-0.238286, 0.2935, 1.0000, 0.4004,69768.1423
  -14.0666,   4.5794, -1.874, 1.968545, 0.017463, 0.063134, 0.108205,-0.262693, 0.3007, 1.0000, 0.4075,94982.4234
  -11.0416,   4.9828, -2.111, 1.923559, 0.016784, 0.070440, 0.372436,-0.283754, 0.3045, 1.0000, 0.4151,126190.4626
   -7.9412,   5.3962, -2.358, 1.867537, 0.015663, 0.077641, 0.582856,-0.302126, 0.3127, 1.0000, 0.4238,163968.8010
   -4.7865,   5.8168, -2.564, 1.793847, 0.014739, 0.082916, 0.738862,-0.318744, 0.3188, 0.9648, 0.4349,208735.7302
   -1.5991,   6.2418, -2.479, 1.686047, 0.013548, 0.071961, 0.830261,-0.334661, 0.3279, 0.9138, 0.4515,260678.1054
    1.5991,   6.2418, -2.479, 1.686047, 0.013548, 0.071961, 0.830261,-0.334661, 0.3279, 0.9138, 0.4515,260638.7342
    4.7865,   5.8168, -2.564, 1.793847, 0.014739, 0.082916, 0.738862,-0.318744, 0.3188, 0.9648, 0.4349,208697.9990
    7.9412,   5.3962, -2.358, 1.867537, 0.015663, 0.077641, 0.582856,-0.302126, 0.3127, 1.0000, 0.4238,163933.9400
   11.0416,   4.9828, -2.111, 1.923559, 0.016784, 0.070440, 0.372436,-0.283754, 0.3045, 1.0000, 0.4151,126159.3052
   14.0666,   4.5794, -1.874, 1.968545, 0.017463, 0.063134, 0.108205,-0.262693, 0.3007, 1.0000, 0.4075,94955.4404
   16.9956,   4.1889, -1.656, 2.005984, 0.018969, 0.056193,-0.213029,-0.238286, 0.2935, 1.0000, 0.4004,69745.4910
   19.8084,   3.8139, -1.460, 2.037889, 0.020291, 0.049769,-0.597582,-0.209915, 0.2900, 1.0000, 0.3933,49853.4305
   22.4859,   3.4569, -1.287, 2.065433, 0.021756, 0.043948,-1.053106,-0.176937, 0.2875, 1.0000, 0.3860,34554.0563
   25.0098,   3.1204, -1.138, 2.089220, 0.023160, 0.038845,-1.588263,-0.138696, 0.2841, 1.0000, 0.3782,23115.0072
   27.3629,   2.8066, -1.019, 2.109360, 0.024723, 0.034667,-2.211267,-0.094586, 0.2789, 1.0000, 0.3700,14830.7927
   29.5290,   2.5178, -0.939, 2.125388, 0.026051, 0.031799,-2.927903,-0.044196, 0.2752, 1.0000, 0.3611,9048.6945
   31.4934,   2.2559, -0.916, 2.135981, 0.027526, 0.030938,-3.737172, 0.012420, 0.2745, 1.0000, 0.3516,5186.6394
   33.2427,   2.0226, -0.985, 2.138294, 0.028634, 0.033336,-4.624379, 0.074252, 0.2795, 1.0000, 0.3417,2743.5135
   34.7650,   1.8197, -1.207, 2.126549, 0.028559, 0.041195,-5.548215, 0.138512, 0.2929, 1.0000, 0.3318,1302.8012
   36.0497,   1.6484, -1.690, 2.089116, 0.027192, 0.058112,-6.418782, 0.199309, 0.3129, 1.0000, 0.3227,530.8139
   37.0882,   1.5099, -2.596, 2.003161, 0.025092, 0.088680,-7.063374, 0.245806, 0.3405, 1.0000, 0.3162,171.1047
   37.8733,   1.4052, -4.013, 1.828421, 0.022320, 0.133908,-7.192677, 0.260644, 0.3684, 1.0000, 0.3148,36.9047
   38.3997,   1.3350, -5.428, 1.521686, 0.018575, 0.186376,-6.486560, 0.220432, 0.4030, 0.8902, 0.3272, 3.3478
   38.6639,   1.2998, -5.740, 1.161290, 0.016113, 0.260031,-5.250943, 0.107644, 0.4538, 0.2971, 0.3892, 0.0000
