alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
-10.000,-1.1260, 0.00727, 0.00377, 0.0008,0.6268,0.0006,-18.9195, 0.0000, 0.0000, 0.0000, 0.2423
 -9.900,-1.1150, 0.00720, 0.00370, 0.0008,0.6185,0.0006,-18.5139, 0.0000, 0.0000, 0.0000, 0.2425
 -9.800,-1.1040, 0.00714, 0.00362, 0.0009,0.6102,0.0007,-18.1599, 0.0000, 0.0000, 0.0000, 0.2427
 -9.500,-1.0709, 0.00693, 0.00340, 0.0010,0.5982,0.0008,-17.1402, 0.0000, 0.0000, 0.0000, 0.2433
 -9.400,-1.0599, 0.00687, 0.00333, 0.0010,0.5899,0.0008,-16.8071, 0.0000, 0.0000, 0.0000, 0.2434
 -9.300,-1.0488, 0.00680, 0.00325, 0.0011,0.5839,0.0008,-16.4772, 0.0000, 0.0000, 0.0000, 0.2436
 -9.100,-1.0267, 0.00668, 0.00311, 0.0012,0.5774,0.0009,-15.8275, 0.0000, 0.0000, 0.0000, 0.2440
 -9.000,-1.0157, 0.00662, 0.00304, 0.0012,0.5692,0.0010,-15.5078, 0.0000, 0.0000, 0.0000, 0.2442
 -8.900,-1.0046, 0.00655, 0.00297, 0.0012,0.5616,0.0010,-15.1913, 0.0000, 0.0000, 0.0000, 0.2443
 -8.800,-0.9935, 0.00650, 0.00290, 0.0013,0.5585,0.0010,-14.8778, 0.0000, 0.0000, 0.0000, 0.2445
 -8.700,-0.9824, 0.00643, 0.00283, 0.0013,0.5573,0.0011,-14.5677, 0.0000, 0.0000, 0.0000, 0.2447
 -8.600,-0.9713, 0.00638, 0.00277, 0.0013,0.5492,0.0011,-14.2612, 0.0000, 0.0000, 0.0000, 0.2449
 -8.500,-0.9603, 0.00632, 0.00270, 0.0013,0.5409,0.0012,-13.9578, 0.0000, 0.0000, 0.0000, 0.2450
 -8.400,-0.9492, 0.00626, 0.00263, 0.0014,0.5357,0.0012,-13.6577, 0.0000, 0.0000, 0.0000, 0.2452
 -8.200,-0.9270, 0.00613, 0.00249, 0.0014,0.5298,0.0013,-13.0674, 0.0000, 0.0000, 0.0000, 0.2455
 -8.100,-0.9159, 0.00608, 0.00243, 0.0014,0.5215,0.0014,-12.7773, 0.0000, 0.0000, 0.0000, 0.2457
 -8.000,-0.9048, 0.00602, 0.00236, 0.0015,0.5136,0.0015,-12.4902, 0.0000, 0.0000, 0.0000, 0.2459
 -7.900,-0.8937, 0.00595, 0.00229, 0.0015,0.5104,0.0016,-12.2061, 0.0000, 0.0000, 0.0000, 0.2460
 -7.800,-0.8825, 0.00589, 0.00223, 0.0015,0.5097,0.0017,-11.9250, 0.0000, 0.0000, 0.0000, 0.2462
 -7.700,-0.8714, 0.00584, 0.00216, 0.0015,0.5020,0.0018,-11.6472, 0.0000, 0.0000, 0.0000, 0.2464
 -7.600,-0.8603, 0.00578, 0.00210, 0.0016,0.4938,0.0019,-11.3720, 0.0000, 0.0000, 0.0000, 0.2465
 -7.500,-0.8492, 0.00572, 0.00203, 0.0016,0.4878,0.0020,-11.0989, 0.0000, 0.0000, 0.0000, 0.2467
 -7.400,-0.8380, 0.00566, 0.00197, 0.0016,0.4860,0.0021,-10.8275, 0.0000, 0.0000, 0.0000, 0.2468
 -7.300,-0.8269, 0.00561, 0.00192, 0.0016,0.4825,0.0021,-10.5580, 0.0000, 0.0000, 0.0000, 0.2470
 -7.200,-0.8156, 0.00558, 0.00188, 0.0016,0.4741,0.0021,-10.2942, 0.0000, 0.0000, 0.0000, 0.2471
 -7.100,-0.8044, 0.00554, 0.00183, 0.0016,0.4656,0.0021,-10.0334, 0.0000, 0.0000, 0.0000, 0.2472
 -7.000,-0.7932, 0.00550, 0.00178, 0.0016,0.4623,0.0022,-9.7758, 0.0000, 0.0000, 0.0000, 0.2474
